id,title,authors,year,type,domain,subcategory,method,key_finding,hypothesis_generated,relevance
5001,Self-Organization Towards 1/f Noise in Deep Neural Networks,"Le, N.C.J.; Feng, L.",2023,preprint,dl_theory,one_over_f_noise,empirical,"LSTM activations during training spontaneously develop 1/f power spectral density consistent with self-organised criticality (arXiv:2301.08530, authors Nicholas Chong Jia Le and Ling Feng NOT Nguyen-Hu-Yen as originally cited — VERIFY attribution corrected)","Direct scoop risk for 1/f claim in RNNs; our transformer 1/f result must differentiate from LSTM precedent",5
5002,Parameterizing neural power spectra into periodic and aperiodic components,"Donoghue, T.; Haller, M.; Peterson, E.J.; Sebastian, P.; Gao, R.; Noto, T.; Lara, A.H.; Wallis, J.D.; Knight, R.T.; Shestyuk, A.; Voytek, B.",2020,journal_article,neuroscience,aperiodic_exponent,methodology,"FOOOF algorithm separates 1/f aperiodic background (offset + exponent) from periodic peaks in neural power spectra (Nat. Neurosci. 23:1655-1665); field-canonical decomposition used across EEG/ECoG/LFP",Apply FOOOF-style aperiodic-exponent estimation to LLM-activation time series; aperiodic exponent is a direct observable of criticality,5
5003,Detecting long-range correlations with detrended fluctuation analysis,"Kantelhardt, J.W.; Koscielny-Bunde, E.; Rego, H.H.A.; Havlin, S.; Bunde, A.",2001,journal_article,statphys,long_range_correlations,methodology,"Establishes DFA-to-PSD correspondence: beta = 2*alpha_DFA - 1 for self-similar time series; benchmarks DFA under nonstationarity (Physica A 295:441-454)",Methodological backbone: use DFA alpha on activation time series and cross-check with PSD exponent beta,4
5004,Establishing the relation between detrended fluctuation analysis and power spectral density analysis for stochastic processes,"Heneghan, C.; McDarby, G.",2000,journal_article,statphys,long_range_correlations,methodology,"Analytic proof that DFA exponent alpha and PSD exponent beta satisfy beta = 2*alpha - 1 for Gaussian processes with power-law correlations (Phys. Rev. E 62:6103-6110)",Independent verification of DFA-PSD relation; cite alongside Kantelhardt to pin down the conversion,3
5005,Latent Object Permanence: Topological Phase Transitions Free-Energy Principles and Renormalization Group Flows in Deep Transformer Manifolds,"Alpay, F.; Kilictas, B.",2026,preprint,dl_theory,renormalization_group,theory,"VERIFY novelty claim: depth-based RG analysis on Qwen-2.5 / Gemma-2 / LLaMA-3 with covariance spectrum flow; partial scoop of transformer RG claim (arXiv:2601.19942)",Partial-scoop warning: our transformer RG flow contribution must clearly differentiate from this Jan-2026 preprint,5
5006,Diffusion-Guided Renormalization of Neural Systems via Tensor Networks,"Kodama, N.X.",2025,preprint,dl_theory,renormalization_group,theory,"Tensor-network RG applied to neural systems; dissertation-based formalism linking diffusion-guided coarse-graining to criticality in ML (arXiv:2510.06361)",Alternative RG methodology to benchmark our coarse-graining choice against,3
5007,Dynamic neuron approach to deep neural networks: Decoupling neurons for renormalization group analysis,"Lee, D.; Lee, H.-S.; Yi, J.",2025,journal_article,dl_theory,renormalization_group,theory,"Theoretical RG framework for deep networks by decoupling neurons into dynamic variables (Phys. Rev. Research 7:023276, arXiv:2410.00396)",Theory precedent for RG on feedforward nets; our transformer RG must cite and extend,4
5008,The phenomenological renormalization group in neuronal models near criticality,"Nascimento, K.F.R.; Castro, D.M.; Cambrainha, G.G.; Copelli, M.",2025,preprint,neuroscience,renormalization_group,methodology,"Phenomenological RG narrow-window scaling detection methodology; warns PRG scaling can appear across ~10% from true critical point (arXiv:2506.14053)",Methodology warning: PRG false-positive risk; report window-width sensitivity for any PRG-based criticality claim,4
5009,Testing the critical brain hypothesis using a phenomenological renormalization group,"Nicoletti, G.; Suweis, S.; Maritan, A.",2020,journal_article,neuroscience,renormalization_group,methodology,"PRG scaling signatures can persist up to 10% distance from true critical point; false-positive risk for criticality claims based on coarse-graining alone (arXiv:2001.04353; author name Nicoletti not Silva — VERIFY original citation)",False-positive risk reference for our coarse-graining-based criticality tests,4
5010,Input-driven circuit reconfiguration in critical recurrent neural networks,"Magnasco, M.O.",2024,journal_article,neuroscience,criticality_in_dl,theory_simulation,"Critical RNNs reconfigure circuit topology as a function of input drive while remaining near criticality; runtime-conditional branching ratio sigma (PNAS 122(10):e2405150322 March 2025, arXiv:2405.15036)",Direct precedent for runtime-conditional / input-driven criticality in RNNs; our input-driven sigma(x) for transformers must distinguish from this,5
