family,target,mae,mae_sd,r2,r2_sd
F1_OLS,corr_SPY_GLD,0.35695690899248256,0.11373673345570424,-2.8475173883585443,2.0054379802346167
F2_GBR,corr_SPY_GLD,0.26712402437879573,0.0694526969813418,-1.3227296024408166,1.1441971762505907
F3_RF,corr_SPY_GLD,0.27301525396136517,0.03541682381883527,-1.3276423417235834,0.8267958856847979
F1_OLS,corr_SPY_BTC,0.37289742842126156,0.1112643176538676,-8.464656529123793,5.0425098245326465
F2_GBR,corr_SPY_BTC,0.20223652358599775,0.07446096634616887,-2.5813800446752664,3.4179223079144725
F3_RF,corr_SPY_BTC,0.18444121863944712,0.05777974534734165,-1.9734314704262936,2.5595831243009535
F1_OLS,corr_SPY_WTI,0.31828598842183864,0.22810008262681078,-4.827704299311549,7.48526042502612
F2_GBR,corr_SPY_WTI,0.309576059775059,0.1439336141263523,-3.8008733578859575,4.193709219142277
F3_RF,corr_SPY_WTI,0.33655032023215214,0.11526427814493942,-4.008016906996433,3.4572951353213863
F1_OLS,corr_SPY_DBC,0.21775854245141132,0.04933635398603981,-0.7940218985676664,0.8949786993659691
F2_GBR,corr_SPY_DBC,0.20083305676590898,0.027087716551664535,-0.5653795224276228,0.22180137028776814
F3_RF,corr_SPY_DBC,0.24025840125162615,0.041360607151496274,-1.2595411756959893,0.9886918405471447
